"Year","Month","Day","Venue","Place","Country","LatLng","Date"
1960,"Aug",17,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-17
1960,"Aug",18,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-18
1960,"Aug",19,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-19
1960,"Aug",20,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-20
1960,"Aug",21,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-21
1960,"Aug",22,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-22
1960,"Aug",23,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-23
1960,"Aug",24,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-24
1960,"Aug",25,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-25
1960,"Aug",26,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-26
1960,"Aug",27,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-27
1960,"Aug",28,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-28
1960,"Aug",29,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-29
1960,"Aug",30,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-30
1960,"Aug",31,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-08-31
1960,"Sep",1,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-01
1960,"Sep",2,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-02
1960,"Sep",3,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-03
1960,"Sep",4,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-04
1960,"Sep",5,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-05
1960,"Sep",6,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-06
1960,"Sep",7,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-07
1960,"Sep",8,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-08
1960,"Sep",9,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-09
1960,"Sep",10,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-10
1960,"Sep",11,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-11
1960,"Sep",12,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-12
1960,"Sep",13,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-13
1960,"Sep",14,"Indra Club","Hamburg","Germany","53.5519638:9.9580231",1960-09-14
